epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,328.34,0.84659,0.58611,1.08503,0.80802,0.69631,0.79299,0.47336,1.41187,1.32457,1.6567,0.000140723,0.000140723,0.000140723
43,336.122,0.82887,0.59093,1.09025,0.86342,0.71198,0.75863,0.47181,1.35221,1.28167,1.57991,0.000133545,0.000133545,0.000133545
44,343.14,0.8188,0.5928,1.08153,0.84879,0.70067,0.73963,0.45757,1.40691,1.25552,1.62754,0.000126367,0.000126367,0.000126367
45,350.651,0.81912,0.56353,1.06096,0.8692,0.69419,0.75011,0.43977,1.42944,1.29626,1.66777,0.00011919,0.00011919,0.00011919
46,358.382,0.81738,0.54339,1.06472,0.81962,0.69236,0.73753,0.44926,1.45747,1.38002,1.68879,0.000112013,0.000112013,0.000112013
47,365.294,0.76241,0.53199,1.03812,0.83908,0.6671,0.74892,0.44489,1.44213,1.34042,1.6816,0.000104835,0.000104835,0.000104835
48,373.035,0.78259,0.54192,1.06018,0.87451,0.68161,0.76101,0.47738,1.46636,1.35493,1.70296,9.76575e-05,9.76575e-05,9.76575e-05
49,380.056,0.76712,0.52883,1.04407,0.89579,0.70214,0.77908,0.47326,1.4993,1.4615,1.72685,9.048e-05,9.048e-05,9.048e-05
50,388.059,0.77647,0.55032,1.04765,0.87864,0.72908,0.74827,0.44627,1.4946,1.43513,1.7568,8.33025e-05,8.33025e-05,8.33025e-05
51,398.226,0.76387,0.5329,1.07001,0.88404,0.72221,0.75205,0.46387,1.48453,1.35589,1.74792,7.6125e-05,7.6125e-05,7.6125e-05
52,405.081,0.72452,0.47915,1.00626,0.87356,0.7272,0.74093,0.45518,1.4954,1.41437,1.79026,6.89475e-05,6.89475e-05,6.89475e-05
53,412.983,0.69112,0.46292,1.00859,0.88211,0.71506,0.73115,0.43667,1.47178,1.49917,1.76663,6.177e-05,6.177e-05,6.177e-05
54,419.783,0.67335,0.44186,1.02483,0.83675,0.72472,0.76623,0.45991,1.44514,1.4592,1.75864,5.45925e-05,5.45925e-05,5.45925e-05
55,427.663,0.63953,0.42626,0.99808,0.83399,0.72523,0.75646,0.46404,1.43482,1.44633,1.74617,4.7415e-05,4.7415e-05,4.7415e-05
56,434.703,0.63933,0.41943,1.01439,0.83535,0.71895,0.75432,0.4803,1.42219,1.4298,1.72429,4.02375e-05,4.02375e-05,4.02375e-05
57,442.523,0.61757,0.40809,0.97955,0.84311,0.72978,0.77367,0.47222,1.42215,1.39629,1.73589,3.306e-05,3.306e-05,3.306e-05
58,450.227,0.62303,0.41769,0.99213,0.86137,0.72626,0.775,0.46739,1.4305,1.38676,1.74537,2.58825e-05,2.58825e-05,2.58825e-05
59,458.21,0.59529,0.39743,0.95664,0.86321,0.72471,0.77783,0.46754,1.43111,1.39043,1.75203,1.8705e-05,1.8705e-05,1.8705e-05
60,465.702,0.61641,0.40707,0.97092,0.86393,0.72007,0.77778,0.46326,1.41839,1.37082,1.75333,1.15275e-05,1.15275e-05,1.15275e-05
